Task,Mode,Participant,Run time,Created at,Robot count
robot_positioning,default,"",7.193,2013-08-19 16:01:45 UTC,3,""
robot_positioning,default,"",7.191,2013-08-19 16:02:12 UTC,4,""
robot_positioning,default,PADywXZAEF7sHEfXergbFw,5.065,2013-08-20 18:18:31 UTC,3,""
robot_positioning,default,Znynkj4X4yz3y4aZU5uLkQ,14.547,2013-08-20 19:30:01 UTC,4,""
maze_positioning,default,5b8LsmN7r855Sm23rErwKg,197.043,2013-08-20 20:27:22 UTC,24,""
maze_positioning,default,NIioUISzJi1U1aQKdGzdsw,124.466,2013-08-20 20:40:21 UTC,174,""
maze_positioning,default,NIioUISzJi1U1aQKdGzdsw,94.839,2013-08-20 20:42:23 UTC,41,""
maze_positioning,default,NIioUISzJi1U1aQKdGzdsw,107.724,2013-08-20 20:44:25 UTC,130,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,57.625,2013-08-20 20:46:18 UTC,6,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,8.823,2013-08-20 20:46:34 UTC,4,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,47.994,2013-08-20 20:47:27 UTC,5,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,1.248,2013-08-20 20:47:54 UTC,1,""
robot_positioning,default,NIioUISzJi1U1aQKdGzdsw,37.219,2013-08-20 20:48:36 UTC,7,""
varying_control,repulsive,NIioUISzJi1U1aQKdGzdsw,176.494,2013-08-20 20:52:16 UTC,16,""
varying_control,repulsive,NIioUISzJi1U1aQKdGzdsw,130.532,2013-08-20 20:54:34 UTC,16,""
varying_visualization,mean & variance,NIioUISzJi1U1aQKdGzdsw,83.611,2013-08-20 20:56:18 UTC,100,""
varying_visualization,mean & variance,NIioUISzJi1U1aQKdGzdsw,67.351,2013-08-20 20:57:47 UTC,100,""
varying_visualization,convex-hull,NIioUISzJi1U1aQKdGzdsw,199.089,2013-08-20 21:01:19 UTC,100,""
pyramid_building,0.4,NIioUISzJi1U1aQKdGzdsw,214.939,2013-08-20 21:05:48 UTC,8,""
pyramid_building,3.2,NIioUISzJi1U1aQKdGzdsw,192.674,2013-08-20 21:09:13 UTC,8,""
pyramid_building,9.1,NIioUISzJi1U1aQKdGzdsw,169.76,2013-08-20 21:12:29 UTC,8,""
maze_positioning,default,OhTCcEF2EJAyPp_9PDv6Zw,110.327,2013-08-21 19:14:39 UTC,82,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,7.111,2013-08-21 19:16:43 UTC,2,""
maze_positioning,default,L7xnEmgTlN-2p6dhU_daYA,116.013,2013-08-21 22:16:22 UTC,55,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,9.022,2013-08-22 02:28:58 UTC,4,""
robot_positioning,default,OhTCcEF2EJAyPp_9PDv6Zw,7.25,2013-08-22 05:00:47 UTC,2,""
robot_positioning,default,OhTCcEF2EJAyPp_9PDv6Zw,75.454,2013-08-22 05:02:10 UTC,10,""
maze_positioning,default,D5lpQ3eFGPkpmubny7giPA,201.511,2013-08-22 12:58:06 UTC,178,""
maze_positioning,default,D5lpQ3eFGPkpmubny7giPA,317.975,2013-08-22 13:04:08 UTC,395,""
varying_control,repulsive,D5lpQ3eFGPkpmubny7giPA,321.131,2013-08-22 13:12:00 UTC,16,""
varying_control,global,D5lpQ3eFGPkpmubny7giPA,253.026,2013-08-22 13:16:40 UTC,16,""
varying_control,attractive,D5lpQ3eFGPkpmubny7giPA,90.725,2013-08-22 13:20:28 UTC,16,""
varying_visualization,convex-hull,D5lpQ3eFGPkpmubny7giPA,105.844,2013-08-22 13:23:22 UTC,100,""
varying_visualization,mean & variance,D5lpQ3eFGPkpmubny7giPA,123.16,2013-08-22 13:25:51 UTC,100,""
varying_visualization,full-state,D5lpQ3eFGPkpmubny7giPA,83.064,2013-08-22 13:27:36 UTC,100,""
varying_visualization,mean,D5lpQ3eFGPkpmubny7giPA,70.002,2013-08-22 13:29:01 UTC,100,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,168.869,2013-08-22 13:33:32 UTC,10,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,12.769,2013-08-22 13:34:07 UTC,3,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,68.72,2013-08-22 13:36:04 UTC,7,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,18.463,2013-08-22 13:36:40 UTC,4,""
robot_positioning,default,D5lpQ3eFGPkpmubny7giPA,6.224,2013-08-22 13:36:58 UTC,4,""
varying_visualization,mean,rnVUaWncomKRuTSUwbogpA,117.261,2013-08-22 15:30:44 UTC,100,""
pyramid_building,0.5,ZzrYNazJqYX1sk7We-DF5w,346.455,2013-08-22 17:06:30 UTC,8,""
maze_positioning,default,laEPNmDxAZqfozXK4aVuqA,167.445,2013-08-22 18:07:04 UTC,171,""
maze_positioning,default,dT8pKv_TS4J-DnJgFsSirw,131.231,2013-08-22 20:43:01 UTC,85,""
varying_visualization,full-state,Mmkr1ORwLviTc-P2K5RS3Q,157.55,2013-08-23 02:34:28 UTC,100,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,119.172,2013-08-23 02:38:41 UTC,5,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,2.144,2013-08-23 02:39:01 UTC,1,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,104.84,2013-08-23 02:40:54 UTC,9,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,54.126,2013-08-23 02:43:56 UTC,5,""
robot_positioning,default,Mmkr1ORwLviTc-P2K5RS3Q,66.063,2013-08-23 02:49:01 UTC,8,""
varying_control,repulsive,Mmkr1ORwLviTc-P2K5RS3Q,53.681,2013-08-23 03:24:58 UTC,16,""
varying_control,repulsive,Mmkr1ORwLviTc-P2K5RS3Q,61.407,2013-08-23 03:26:28 UTC,16,""
